lat,lon,text,score,points,ID,trees
53.26524,10.39847,good,2.1,yellow,2,1
53.26449,10.39852,excellent,1.1,green,6,1
53.26456,10.39807,excellent,1.1,green,9,2
53.26474,10.3978,good,2.1,yellow,15,1
53.26549,10.39762,good,2.1,yellow,17,4
53.26419,10.39841,good,2.1,yellow,24,1
53.26407,10.39755,excellent,1.1,green,28,3
53.26378,10.39746,good,2.1,yellow,29,1
53.26351,10.39754,good,2.1,yellow,31,2
53.26305,10.40126,unfit,4.2,red,37,2
53.26306,10.4007,good,2.1,yellow,40,1
53.26339,10.4005,good,2.1,yellow,42,2
53.2631,10.39827,excellent,1.1,green,46,3
53.26311,10.40249,unfit,4.2,red,61,1
53.26234,10.40282,unfit,4.2,red,65,1
53.26249,10.40116,good,2.1,yellow,68,2
